Continent,Entity,Code,Year,"15-49 years old (deaths per 100,000)","50-69 years old (deaths per 100,000)","70+ years old (deaths per 100,000)",70+ years old (deaths),15-49 years old (deaths),50-69 years old (deaths),Smoking (deaths)
EASTERN ASIA,Afghanistan,AFG,1990,16.5895192,267.2300085,679.0067545,2164.978736,672.6808215,3556.007814,6393.667372
EASTERN ASIA,Afghanistan,AFG,1991,15.45691308,266.9755159,677.617648,2185.771057,664.0284714,3579.453792,6429.25332
EASTERN ASIA,Afghanistan,AFG,1992,12.76799893,266.4300533,679.5058101,2218.107469,687.1256313,3655.821858,6561.054957
EASTERN ASIA,Afghanistan,AFG,1993,11.00042521,267.9694281,683.9735883,2260.120271,718.5379522,3753.314337,6731.97256
EASTERN ASIA,Afghanistan,AFG,1994,10.73801957,272.4036867,691.007773,2310.222336,731.8435492,3847.262232,6889.328118
EASTERN ASIA,Afghanistan,AFG,1995,10.16170128,273.6342371,691.8288569,2338.446988,715.2149148,3893.293963,6946.955866
EASTERN ASIA,Afghanistan,AFG,1996,10.06797729,274.8341925,693.4015576,2371.486101,731.4087617,3937.526096,7040.420959
EASTERN ASIA,Afghanistan,AFG,1997,10.22470389,277.0374484,696.7965491,2410.348132,759.7062134,3985.415861,7155.470207
EASTERN ASIA,Afghanistan,AFG,1998,10.52046621,279.855021,700.2860187,2448.397312,792.0480979,4025.746445,7266.191855
EASTERN ASIA,Afghanistan,AFG,1999,11.37089958,283.1073851,703.9556229,2487.276168,831.6770851,4037.6051,7356.558353
EASTERN ASIA,Afghanistan,AFG,2000,12.80310783,281.7890423,705.1310939,2519.419381,921.1526582,3968.95425,7409.526289
EASTERN ASIA,Afghanistan,AFG,2001,13.4410546,285.8961808,707.0844668,2552.568609,969.9043789,3993.958985,7516.431973
EASTERN ASIA,Afghanistan,AFG,2002,13.44132133,285.7727842,703.5920795,2566.922858,1038.783239,3960.872366,7566.578463
EASTERN ASIA,Afghanistan,AFG,2003,13.56599258,285.2293164,698.3329884,2577.642329,1128.551613,3905.59282,7611.786762
EASTERN ASIA,Afghanistan,AFG,2004,14.28303725,286.1477627,693.2530748,2591.246193,1224.898544,3839.182143,7655.32688
EASTERN ASIA,Afghanistan,AFG,2005,14.64941166,284.5546441,688.135756,2606.43427,1338.577646,3735.846579,7680.858495
EASTERN ASIA,Afghanistan,AFG,2006,15.44457128,285.9429987,683.3153364,2624.214224,1452.116618,3653.078013,7729.408854
EASTERN ASIA,Afghanistan,AFG,2007,16.17458787,286.9255686,678.0835676,2642.547373,1572.243325,3566.267768,7781.058467
EASTERN ASIA,Afghanistan,AFG,2008,16.51119116,287.5482989,673.6668648,2666.374292,1716.221206,3493.336705,7875.932203
EASTERN ASIA,Afghanistan,AFG,2009,16.86758864,285.9067513,667.2501976,2683.509078,1845.532867,3400.246105,7929.28805
EASTERN ASIA,Afghanistan,AFG,2010,17.06487486,279.6267917,659.4143384,2695.134511,1977.943394,3272.348722,7945.426626
EASTERN ASIA,Afghanistan,AFG,2011,17.14844845,277.0701116,651.6073211,2704.655383,2115.673582,3226.608619,8046.937583
EASTERN ASIA,Afghanistan,AFG,2012,17.23449878,271.8392362,643.9637246,2717.218053,2236.944851,3202.757707,8156.920612
EASTERN ASIA,Afghanistan,AFG,2013,17.17808487,265.1087833,637.4353758,2737.015311,2350.731139,3222.122969,8309.869419
EASTERN ASIA,Afghanistan,AFG,2014,17.15219994,257.9046187,631.8081813,2761.542527,2443.801713,3283.187288,8488.531529
EASTERN ASIA,Afghanistan,AFG,2015,17.2323303,250.4321576,627.3002206,2791.390584,2511.027997,3381.279178,8683.697759
EASTERN ASIA,Afghanistan,AFG,2016,17.12791552,243.7006158,622.5348343,2819.696022,2563.981039,3542.178189,8925.85525
EASTERN ASIA,Afghanistan,AFG,2017,16.85247576,237.6053082,619.208211,2846.066285,2613.999433,3781.185126,9241.250845
EASTERN EUROPE                     ,Albania,ALB,1990,9.752412379,277.2668847,1164.029307,1255.376637,163.2240845,1041.672532,2460.273254
EASTERN EUROPE                     ,Albania,ALB,1991,10.61116003,279.7410825,1211.380181,1334.749629,178.4525768,1078.858144,2592.060349
EASTERN EUROPE                     ,Albania,ALB,1992,10.59303832,266.3001796,1176.671557,1318.820916,178.6958526,1052.154942,2549.67171
EASTERN EUROPE                     ,Albania,ALB,1993,9.7877164,252.2911168,1135.583302,1295.347538,165.3311823,1019.626253,2480.304973
EASTERN EUROPE                     ,Albania,ALB,1994,9.101003665,234.8403063,1077.018672,1254.197852,153.7152753,969.6498612,2377.562989
